epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1803.84,0.86218,0.48937,0.98918,0.97608,0.98881,0.99411,0.78119,0.84532,0.43387,1.01473,0.000693305,0.000693305,0.000693305
61,1833.45,0.87143,0.48876,0.9972,0.97283,0.97391,0.98796,0.77828,0.85027,0.45566,1.02712,0.000676802,0.000676802,0.000676802
62,1863.14,0.86382,0.4937,0.99003,0.98593,0.99517,0.99453,0.78303,0.8639,0.4323,1.03198,0.000660299,0.000660299,0.000660299
63,1892.49,0.87569,0.49104,1.00152,0.97362,0.99092,0.99464,0.78712,0.84371,0.43105,1.02651,0.000643795,0.000643795,0.000643795
64,1922.57,0.86333,0.47687,0.9929,0.97453,0.99182,0.99437,0.78879,0.83609,0.42388,1.01752,0.000627292,0.000627292,0.000627292
65,1952.05,0.86383,0.48383,0.98862,0.98112,0.97344,0.99347,0.78246,0.84639,0.43929,1.02129,0.000610789,0.000610789,0.000610789
66,1981.5,0.85547,0.47377,0.98696,0.99057,0.99627,0.99496,0.78535,0.83591,0.40315,1.01905,0.000594286,0.000594286,0.000594286
67,2011.43,0.85954,0.4752,0.99364,0.99194,0.99407,0.99417,0.7932,0.81999,0.40118,1.02116,0.000577782,0.000577782,0.000577782
68,2041.62,0.84988,0.46823,0.98683,0.97383,0.99411,0.99412,0.78482,0.82761,0.41361,1.02394,0.000561279,0.000561279,0.000561279
69,2073.28,0.85276,0.47174,0.98492,0.98818,0.99627,0.99387,0.78622,0.83663,0.40337,1.01063,0.000544776,0.000544776,0.000544776
70,2105.3,0.84723,0.46185,0.98812,0.98519,0.97453,0.9944,0.78956,0.83072,0.42409,1.03445,0.000528272,0.000528272,0.000528272
71,2135.28,0.85946,0.46203,0.99618,0.98635,0.98915,0.99477,0.78886,0.8165,0.39533,1.01402,0.000511769,0.000511769,0.000511769
72,2164.91,0.8317,0.45157,0.9774,0.98761,0.99157,0.99458,0.78665,0.82534,0.39163,1.01971,0.000495266,0.000495266,0.000495266
73,2194.52,0.84296,0.45971,0.98325,0.9739,0.98068,0.99173,0.78114,0.83345,0.42406,1.0128,0.000478762,0.000478762,0.000478762
74,2223.99,0.84143,0.44913,0.98195,0.98879,0.99254,0.99473,0.79024,0.8374,0.3904,1.019,0.000462259,0.000462259,0.000462259
75,2253.49,0.85823,0.45007,0.98567,0.98298,0.98757,0.99438,0.7784,0.83907,0.40416,1.02516,0.000445756,0.000445756,0.000445756
76,2283.13,0.84959,0.44852,0.98462,0.9803,0.99873,0.99484,0.7878,0.83631,0.40123,1.01775,0.000429253,0.000429253,0.000429253
77,2312.79,0.84377,0.44402,0.98465,0.98809,0.99627,0.99475,0.78625,0.84681,0.38817,1.02488,0.000412749,0.000412749,0.000412749
78,2343.18,0.85224,0.4479,0.99102,0.98415,0.99458,0.99493,0.79222,0.82057,0.37541,1.01718,0.000396246,0.000396246,0.000396246
79,2373.07,0.84752,0.44331,0.9877,0.98801,0.99254,0.99472,0.78761,0.84809,0.39156,1.02324,0.000379743,0.000379743,0.000379743
80,2402.63,0.8413,0.43445,0.9814,0.98955,0.99627,0.99484,0.78935,0.83726,0.37808,1.01811,0.000363239,0.000363239,0.000363239
81,2432.32,0.83044,0.42844,0.97923,0.98555,0.99919,0.99481,0.79659,0.82352,0.37189,1.0125,0.000346736,0.000346736,0.000346736
82,2461.76,0.83752,0.43956,0.9813,0.98658,0.99565,0.99459,0.79345,0.823,0.38635,1.01588,0.000330233,0.000330233,0.000330233
83,2491.44,0.83036,0.43709,0.98006,0.98847,1,0.99493,0.79004,0.82762,0.37684,1.01706,0.000313729,0.000313729,0.000313729
84,2521.23,0.84137,0.43276,0.97978,0.98677,0.99565,0.99459,0.79382,0.83066,0.3837,1.01881,0.000297226,0.000297226,0.000297226
85,2550.79,0.82598,0.43219,0.98014,0.99099,0.99416,0.99489,0.7931,0.81007,0.36667,1.01385,0.000280723,0.000280723,0.000280723
86,2580.4,0.83418,0.42062,0.982,0.98819,0.99627,0.99455,0.79352,0.82157,0.3782,1.01238,0.00026422,0.00026422,0.00026422
87,2609.89,0.82081,0.41623,0.97618,0.98467,0.99532,0.99496,0.79717,0.81985,0.36716,1.01357,0.000247716,0.000247716,0.000247716
88,2639.78,0.82714,0.42054,0.97467,0.9887,0.99844,0.995,0.79672,0.81559,0.37419,1.01447,0.000231213,0.000231213,0.000231213
